Dormitory,Address of dormitory
Acacia Lodge,"540 Bukit Batok Street 23, Singapore 659553"
Toh Guan Dormitory,"19A Toh Guan Road East, Singapore 608567"
Westlite Dormitory Toh Guan Pte Ltd,"18 Toh Guan Road East, Singapore 608591"
"Kian Teck Dormitory
","26 Kian Teck Avenue, Singapore 628920"
"Kian Teck Hostel
","30 Kian Teck Avenue, Singapore 628921"
"Blue Stars Dormitory
","3 Kian Teck Lane, Singapore 627844"
"Jurong Apartments
","529 Upper Jurong Road, Singapore 638355"
"Avery Lodge
","2D Jalan Papan, Singapore 619415"
"Cassia @ Penjuru
","11 Penjuru Walk, Singapore 608541"
Centurion / Lian Beng (Papan) Pte Ltd,"5C Jalan Papan, Singapore 619420"
Jurong Penjuru Dormitory 1,"58 Penjuru Place, Singapore 608562"
Jurong Penjuru Dormitory 2,"36 Penjuru Place, Singapore 608560"
CDPL Tuas Dormitory,"6 Tuas South Street 15, Singapore 636906"
SCM Tuas Lodge,"80 Tuas South Boulevard, Singapore 637051"
Tuas South Dormitory,"1 Tuas South Street 12, Singapore 636946"
Tuas View Dormitory,"70 Tuas South Avenue 1, Singapore 637285"
Seatown Dormitory,69H Tuas South Avenue 1 Singapore 637509
CPR Dormitory,Tuas South Boulevard
Hai Leck Enginering Dormitory,"12 Tuas Drive 1, Singapore 638679"
DDJV Dormitory,"200A Tuas South Boulevard, Singapore 637060"
Space @ Tuas Apartments,16 Tuas Avenue 1 #07-201 Singapore 639529
Alaunia Lodge,"Admiralty Road West, Singapore 759956"
Cochrane Lodge 1,"51 Admiralty Road West, Singapore 757443"
Cochrane Lodge 2,"49 Admiralty Road West, Singapore 757444"
Hulett Dormitory,"20 Senoko Drive, Singapore 758207"
North Coast Lodge,"51 North Coast Avenue, Singapore 756992"
Westlite Woodlands Dormitory,"2 Woodlands Sector 2, Singapore 737723"
Woodlands Dormitory,"27 Woodlands Sector 1, Singapore 738252"
Woodlands Lodge 1,"50 Woodlands Industrial Park E4, Singapore 757388"
Woodlands Lodge 2,"190 Woodlands Industrial Park E7, Singapore 757178"
Mandai Lodge 1,"460 Mandai Road, Singapore 729760"
Westlite Juniper,"23 Mandai Estate, Singapore 729937"
Westlite Mandai Dormitory,"34 Mandai Estate, Singapore 729940"
Kranji Lodge 1,"12 Kranji Road, Singapore 739522"
