name_of_centre,location_of_centre,type_of_centre
Adam Road Food Centre,"2, Adam Road, S(289876)",HC
Amoy Street Food Centre,"National Development Building, Annex B, Telok Ayer Street, S(069111)",HC
Bedok Food Centre,"1, Bedok Road, S(469572)",HC
Beo Crescent Market,"38A, Beo Crescent, S(169982)",MHC
Berseh Food Centre,"166, Jalan Besar, S(208877)",HC
Bukit Timah Market,"51, Upper Bukit Timah Road, S(588215)",MHC
Chomp Chomp Food Centre,"20, Kensington Park Road, S(557269)",HC
Commonwealth Crescent Market,"31, Commonwealth Crescent, S(149644)",MHC
Dunman Food Centre,"271, Onan Road, S(424768)",HC
East Coast Lagoon Food Village,"1220, East Coast Parkway, S(468960)",HC
Geylang Serai Market,"Geylang Serai, S(402001)",MHC
Golden Mile Food Centre,"505, Beach Road, S(199583)",MHC
Holland Village Market & Food Centre,"1, Lorong Mambong, S(277700)",MHC
Kallang Estate Market,"17, Old Airport Road, S(397972)",MHC
Market Street Food Centre,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)",HC
Maxwell Food Centre,"1, Kadayanallur Street, S(069184)",HC
Newton Food Centre,"500, Clemenceau Ave North, S(229495)",HC
North Bridge Road Market & Food Centre,"861, North Bridge Road, S(198783)",MHC
Pasir Panjang Food Centre,"121, Pasir Panjang Road, S(118543)",HC
Serangoon Garden Market,"49A, Serangoon Garden Way, S(555945)",MHC
Sembawang Hill Food Centre,"590, Upper Thomson Road, S(574419)",HC
Taman Jurong Market & Food Centre,"3, Yung Sheng Road, S(618499)",MHC
Tanglin Halt Market,"48A, Tanglin Halt Road, S(148813)",MHC
Tiong Bahru Market,"30, Seng Poh Road, S(168898)",MHC
Zion Riverside Food Centre,"70, Zion Road, S(247792)",HC
ABC Brickworks Market & Food Centre,"Blk 6, Jalan Bukit Merah, S(150006)",MHC
Albert Centre Market & Food Centre,"Blk 270, Queen Street, S(180270)",MHC
Alexandra Village Food Centre,"Blk 120, Bukit Merah Lane, S(150120)",HC
Blk 1 Jalan Kukoh,"Blk 1, Jalan Kukoh, S(161001)",HC
Blk 105 Hougang Ave 1,"Blk 105, Hougang Ave 1, S(530105)",MHC
Blk 11 Telok Blangah Crescent,"Blk 11, Telok Blangah Crescent, S(090011)",MHC
Blk 112 Jalan Bukit Merah,"Blk 112, Jalan Bukit Merah, S(160112)",MHC
Blk 115 Bukit Merah View,"Blk 115, Bukit Merah View, S(151115)",MHC
Blk 117 Aljunied Ave 2,"Blk 117, Aljunied Ave 2, S(380117)",MHC
Blk 127 Toa Payoh Lorong 1,"Blk 127, Lorong 1 Toa Payoh, S(310127)",MHC
Blk 137 Tampines Street 11,"Blk 137, Tampines Street 11, S(521137)",MHC
Blk 159 Mei Chin Road,"Blk 159, Mei Chin Road, S(140159)",MHC
Blk 16 Bedok South Road,"Blk 16, Bedok South Road, S(460016)",MHC
Blk 163 Bukit Merah Central,"Blk 163, Bukit Merah Central, S(150163)",HC
Blk 17 Upper Boon Keng Road,"Blk 17, Upper Boon Keng Road, S(380017)",MHC
Blk 20 Ghim Moh Road,"Blk 20, Ghim Moh Road, S(270020)",MHC
Blk 208B New Upper Changi Road,"Blk 208B, New Upper Changi Road, S(462208)",HC
Blk 210 Toa Payoh Lorong 8,"Blk 210, Lorong 8 Toa Payoh, S(310210)",MHC
Blk 216 Bedok North Street 1,"Blk 216, Bedok North Street 1, S(460216)",MHC
Blk 22 Toa Payoh Lorong 7,"Blk 22, Lorong 7 Toa Payoh, S(310022)",MHC
Blk 226D Ang Mo Kio Ave 1,"Blk 226D, Ang Mo Kio Ave 1, S(564226)",MHC
Blk 226H Ang Mo Kio Street 22,"Blk 226H, Ang Mo Kio Street 22, S(568226)",HC
Blk 254 Jurong East Street 24,"Blk 254, Jurong East Street 24, S(600254)",MHC
Blk 29 Bendemeer Road,"Blk 29, Bendemeer Road, S(330029)",MHC
Blk 320 Shunfu Road,"Blk 320, Shunfu Road, S(570320)",MHC
Blk 341 Ang Mo Kio Ave 1,"Blk 341, Ang Mo Kio Ave 1, S(560341)",MHC
Blk 347 Jurong East Ave 1,"Blk 347, Jurong East Ave 1, S(600347)",MHC
Blk 353 Clementi Ave 2,"Blk 353, Clementi Ave 2, S(120353)",MHC
Blk 36 Telok Blangah Rise,"Blk 36, Telok Blangah Rise, S(090036)",MHC
Blk 37A Teban Gardens Road,"Blk 37A, Teban Garden Road, S(601037)",MHC
Blk 409 Ang Mo Kio Ave 10,"Blk 409, Ang Mo Kio Ave 10, S(560409)",MHC
Blk 44 Holland Drive,"Blk 44, Holland Drive, S(270044)",MHC
Blk 448 Clementi Ave 3,"Blk 448, Clementi Ave 3, S(120448)",MHC
Blk 453A Ang Mo Kio Ave 10,"Blk 453A, Ang Mo Kio Ave 10, S(561453)",MHC
Blk 49 Sims Place,"Blk 49, Sims Place, S(380049)",MHC
Blk 4A Eunos Crescent,"Blk 4A, Eunos Crescent, S(402004)",MHC
Blk 4A Jalan Batu,"Blk 4A, Jalan Batu, S(432004)",MHC
Blk 4A Woodlands Centre Road,"Blk 4A, Woodlands Centre Road, S(731004)",HC
Blk 502 West  Coast Drive,"Blk 502, West Coast Drive, S(120502)",MK
Blk 503 West Coast Drive,"Blk 503, West Coast Drive, S(120503)",HC
Blk 505 Jurong West Street 52,"Blk 505, Jurong West Street 52, S(640505)",MHC
Blk 50A Marine Terrace,"Blk 50A, Marine Terrace, S(441050)",MHC
Blk 51 Old Airport Road,"Blk 51, Old Airport Road, S(390051)",MHC
Blk 511 Bedok North Street 3,"Blk 511, Bedok North Street 3, S(460511)",MHC
Blk 527 Ang Mo Kio Ave 10,"Blk 527, Ang Mo Kio Ave 10, S(560527)",MHC
Blk 538 Bedok North Street 3,"Blk 538, Bedok North Street 3, S(460538)",MHC
Blk 58 New Upper Changi Road,"Blk 58, New Upper Changi Road, S(461058)",MHC
Blk 6 Tanjong Pagar Plaza,"Blk 6, Tanjong Pagar Plaza, S(081006)",MHC
Blk 628 Ang Mo Kio Ave 4,"Blk 628, Ang Mo Kio Ave 4, S(560628)",MHC
Blk 630 Bedok Reservoir Road,"Blk 630, Bedok Reservoir Road, S(470630)",MHC
Blk 69 Geylang Bahru,"Blk 69, Geylang Bahru, S(330069)",MHC
Blk 7 Empress Road,"Blk 7, Empress Road, S(260007)",MHC
Blk 724 Ang Mo Kio Ave 6,"Blk 724, Ang Mo Kio Ave 6, S(560724)",MHC
Blk 726 Clementi West Street 2,"Blk 726, Clementi West Street 2, S(120726)",MHC
Blk 74 Toa Payoh Lorong 4,"Blk 74, Lorong 4 Toa Payoh, S(310074)",MHC
Blk 75 Toa Payoh Lorong 5,"Blk 75, Lorong 5 Toa Payoh, S(310075)",HC
Blk 79 Redhill Lane,"Blk 79, Redhill Lane, S(150079)",MK
Blk 79 Telok Blangah Drive,"Blk 79, Telok Blangah Drive, S(100079)",HC
Blk 80 Circuit Road,"Blk 80, Circuit Road, S(370080)",MHC
Blk 82 Telok Blangah Drive,"Blk 82, Telok Blangah Drive, S(100082)",MK
Blk 84 Marine Parade Central,"Blk 84, Marine Parade Central, S(440084)",MHC
Blk 85 Bedok North Street 4,"Blk 85, Bedok North Street 4, S(460085)",MHC
Blk 85 Redhill Lane,"Blk 85, Redhill Lane, S(150085)",HC
Blk 89 Circuit Road,"Blk 89, Circuit Road, S(370089)",MHC
Blk 90 Whampoa Drive,"Blk 90, Whampoa Drive, S(320090)",MHC
Blk 93 Toa Payoh Lorong 4,"Blk 93, Lorong 4 Toa Payoh, S(310093)",MHC
Blks 13/14 Haig Road,"Blk 13/14, Haig Road, S(430013/430014)",MHC
Blks 160/162 Ang Mo Kio Ave 4,"Blk 160/162, Ang Mo Kio Ave 4, S(560160/560162)",MHC
Blks 1A/ 2A/ 3A Commonwealth Drive,"Blk 1A/ 2A/ 3A, Commonwealth Drive, S(141001/141002/141003)",HC
