,name_of_centre,location_of_centre,type_of_centre,lon,lat
1,Adam Road Food Centre,"2, Adam Road, S(289876)",HC,103.814086,1.324088
2,Amoy Street Food Centre,"National Development Building, Annex B, Telok Ayer Street, S(069111)",HC,103.8465144,1.279116
3,Bedok Food Centre,"1, Bedok Road, S(469572)",HC,103.9555055,1.3203848
4,Beo Crescent Market,"38A, Beo Crescent, S(169982)",MHC,103.827528,1.288766
5,Berseh Food Centre,"166, Jalan Besar, S(208877)",HC,103.8569093,1.3075861
6,Bukit Timah Market,"51, Upper Bukit Timah Road, S(588215)",MHC,103.776049,1.3394069
7,Chomp Chomp Food Centre,"20, Kensington Park Road, S(557269)",HC,103.8666004,1.3642285
8,Commonwealth Crescent Market,"31, Commonwealth Crescent, S(149644)",MHC,103.8003444,1.306959
9,Dunman Food Centre,"271, Onan Road, S(424768)",HC,103.9018475,1.3094236
10,East Coast Lagoon Food Village,"1220, East Coast Parkway, S(468960)",HC,103.935039,1.30668
11,Geylang Serai Market,"Geylang Serai, S(402001)",MHC,103.8973851,1.3169537
12,Golden Mile Food Centre,"505, Beach Road, S(199583)",MHC,103.8639299,1.3030908
13,Holland Village Market & Food Centre,"1, Lorong Mambong, S(277700)",MHC,103.7949565,1.3111965
14,Kallang Estate Market,"17, Old Airport Road, S(397972)",MHC,103.883998,1.307274
15,Market Street Food Centre,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)",HC,103.850119,1.284342
16,Maxwell Food Centre,"1, Kadayanallur Street, S(069184)",HC,103.8449058,1.2802419
17,Newton Food Centre,"500, Clemenceau Ave North, S(229495)",HC,103.8393033,1.3119097
18,North Bridge Road Market & Food Centre,"861, North Bridge Road, S(198783)",MHC,103.863862,1.305847
19,Pasir Panjang Food Centre,"121, Pasir Panjang Road, S(118543)",HC,103.7913379,1.2759677
20,Serangoon Garden Market,"49A, Serangoon Garden Way, S(555945)",MHC,103.866835,1.363381
21,Sembawang Hill Food Centre,"590, Upper Thomson Road, S(574419)",HC,103.8290076,1.3723618
22,Taman Jurong Market & Food Centre,"3, Yung Sheng Road, S(618499)",MHC,103.7215856,1.3347853
23,Tanglin Halt Market,"48A, Tanglin Halt Road, S(148813)",MHC,103.7980769,1.3009936
24,Tiong Bahru Market,"30, Seng Poh Road, S(168898)",MHC,103.8325965,1.2849131
25,Zion Riverside Food Centre,"70, Zion Road, S(247792)",HC,103.831136,1.2924504
26,ABC Brickworks Market & Food Centre,"Blk 6, Jalan Bukit Merah, S(150006)",MHC,103.8079014,1.287259
27,Albert Centre Market & Food Centre,"Blk 270, Queen Street, S(180270)",MHC,103.8541162,1.3010567
28,Alexandra Village Food Centre,"Blk 120, Bukit Merah Lane, S(150120)",HC,103.8045552,1.2864182
29,Blk 1 Jalan Kukoh,"Blk 1, Jalan Kukoh, S(161001)",HC,103.8398929,1.2882544
30,Blk 105 Hougang Ave 1,"Blk 105, Hougang Ave 1, S(530105)",MHC,103.8900219,1.3540216
31,Blk 11 Telok Blangah Crescent,"Blk 11, Telok Blangah Crescent, S(090011)",MHC,103.818672,1.277431
32,Blk 112 Jalan Bukit Merah,"Blk 112, Jalan Bukit Merah, S(160112)",MHC,103.8260044,1.2800033
33,Blk 115 Bukit Merah View,"Blk 115, Bukit Merah View, S(151115)",MHC,103.8218978,1.2854816
34,Blk 117 Aljunied Ave 2,"Blk 117, Aljunied Ave 2, S(380117)",MHC,103.8869923,1.3206145
35,Blk 127 Toa Payoh Lorong 1,"Blk 127, Lorong 1 Toa Payoh, S(310127)",MHC,103.8447232,1.338036
36,Blk 137 Tampines Street 11,"Blk 137, Tampines Street 11, S(521137)",MHC,103.94471,1.345531
37,Blk 159 Mei Chin Road,"Blk 159, Mei Chin Road, S(140159)",MHC,103.8028827,1.2932672
38,Blk 16 Bedok South Road,"Blk 16, Bedok South Road, S(460016)",MHC,103.9355558,1.3205476
39,Blk 163 Bukit Merah Central,"Blk 163, Bukit Merah Central, S(150163)",HC,103.8170072,1.2837537
40,Blk 17 Upper Boon Keng Road,"Blk 17, Upper Boon Keng Road, S(380017)",MHC,103.871846,1.314918
41,Blk 20 Ghim Moh Road,"Blk 20, Ghim Moh Road, S(270020)",MHC,103.7883085,1.3109708
42,Blk 208B New Upper Changi Road,"Blk 208B, New Upper Changi Road, S(462208)",HC,103.93068,1.324569
43,Blk 210 Toa Payoh Lorong 8,"Blk 210, Lorong 8 Toa Payoh, S(310210)",MHC,103.854348,1.3402503
44,Blk 216 Bedok North Street 1,"Blk 216, Bedok North Street 1, S(460216)",MHC,103.9333799,1.3275219
45,Blk 22 Toa Payoh Lorong 7,"Blk 22, Lorong 7 Toa Payoh, S(310022)",MHC,103.857027,1.335231
46,Blk 226D Ang Mo Kio Ave 1,"Blk 226D, Ang Mo Kio Ave 1, S(564226)",MHC,103.839176,1.366795
47,Blk 226H Ang Mo Kio Street 22,"Blk 226H, Ang Mo Kio Street 22, S(568226)",HC,103.8400579,1.3672414
48,Blk 254 Jurong East Street 24,"Blk 254, Jurong East Street 24, S(600254)",MHC,103.7376889,1.3436236
49,Blk 29 Bendemeer Road,"Blk 29, Bendemeer Road, S(330029)",MHC,103.863322,1.319142
