,licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code,lon,lat
1,S02029J000,NTUC Fairprice Co-operative Ltd,HOUGANG POINT,1,2,1,HOUGANG STREET 91,538692,103.879482,1.376022
2,CE04561V000,SHENG SIONG SUPERMARKET PTE LTD,na,19,1,42401,SERANGOON NORTH AVENUE 5,554913,103.871995,1.375346
3,CE14L50J000,NTUC Fairprice Co-operative Ltd,THE SELETAR MALL,33,B2,24,SENGKANG WEST AVENUE,797653,103.8760834,1.3915208
4,CE16913J000,SHENG SIONG SUPERMARKET PTE LTD,FERNVALE RIVERGROVE,473,1,6,FERNVALE STREET,790473,103.881574,1.397869
5,S02027L000,NTUC Fairprice Co-operative Ltd,na,682,1,310,HOUGANG AVENUE 4,530682,103.885424,1.3739889
6,CE13R25C000,NTUC Fairprice Co-operative Ltd,na,447A,1,2,JALAN KAYU,791447,103.87261,1.3922239
7,CE06M36N000,NTUC Fairprice Co-operative Ltd,na,53,B2,26,ANG MO KIO AVENUE 3,569933,103.848122,1.369017
8,CE12J32X000,NTUC Fairprice Co-operative Ltd,ITE COLLEGE CENTRAL,2,1,12,ANG MO KIO DRIVE,567720,103.8554865,1.3777036
9,CE11N90C000,NTUC Fairprice Co-operative Ltd,na,712,1,4056,ANG MO KIO AVENUE 6,560712,103.847103,1.371428
10,B98014C000,NTUC Fairprice Co-operative Ltd,na,215,1,877,ANG MO KIO AVENUE 1,560215,103.841498,1.366631
11,B02015J000,SHENG SIONG SUPERMARKET PTE LTD,na,122,1,1753,ANG MO KIO AVENUE 3,560122,103.843297,1.370211
12,CE04334P000,SHENG SIONG SUPERMARKET PTE LTD,na,233,1,1168,ANG MO KIO AVENUE 3,560233,103.83664,1.367618
13,S02021B000,NTUC Fairprice Co-operative Ltd,na,510,1,520,BISHAN STREET 13,570510,103.849885,1.348631
14,S02023V000,NTUC Fairprice Co-operative Ltd,JUNCTION 8 SHOPPING CENTRE,9,B1,20,BISHAN PLACE,579837,103.848794,1.349971
15,S94081C000,NTUC Fairprice Co-operative Ltd,na,279,1,62/64,BISHAN STREET 24,570279,103.843971,1.357491
16,S02056B000,NTUC Fairprice Co-operative Ltd,THOMSON PLAZA,301,3,25,UPPER THOMSON ROAD,574408,103.830935,1.354637
17,S02058V000,SHENG SIONG SUPERMARKET PTE LTD,THOMSON IMPERIAL COURT,200,B1,1,UPPER THOMSON ROAD,574424,103.835801,1.352012
18,S02051L000,NTUC Fairprice Co-operative Ltd,na,192,1,672,LORONG 4 TOA PAYOH,310192,103.850476,1.331679
19,S02103A000,NTUC Fairprice Co-operative Ltd,HDB HUB,500,na,0,LORONG 6 TOA PAYOH,310500,103.847064,1.333005
20,S97079B000,SHENG SIONG SUPERMARKET PTE LTD,na,4,1,107,LORONG 7 TOA PAYOH,310004,103.85527,1.338987
